Type Ligne,Structure,Identifiant de l'élément,Statut de l'élément,Unité français,Nom base français,Nom attribut français,Nom frontière français,Code de la catégorie,Tags français,Localisation géographique,Sous-localisation géographique français,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Type poste,Nom poste français,Total poste non décomposé,CO2f,CH4f,CH4b,N2O
Elément,élément décomposé par poste et par gaz,27061,Valide générique,kgCO2e/kWh (PCI),BioGNL,Carburant,Issu d'épuration cryogénique de biogaz,Combustibles > Organiques > Liquides,"combustible liquide, BioLNG, LNG",France continentale,France continentale,mars 2019,,mars 2022,30%,,,,,,,,,,"<p>Quantités de Gaz à Effet de Serre émises pour fournir un kilowattheure PCI de bioGNL issu d'épuration cryogénique de biogaz et utilisé dans un moteur à combustion
 
 </p>",,,"0,0864","0,013",0,"0,052","0,00539"
Poste,élément décomposé par poste et par gaz,27061,Valide générique,kgCO2e/kWh (PCI),BioGNL,Carburant,Issu d'épuration cryogénique de biogaz,Combustibles > Organiques > Liquides,"combustible liquide, BioLNG, LNG",France continentale,France continentale,mars 2019,,mars 2022,30%,,,,,,,,,,"<p>Quantités de Gaz à Effet de Serre émises pour fournir un kilowattheure PCI de bioGNL issu d'épuration cryogénique de biogaz et utilisé dans un moteur à combustion
 
 </p>",Amont,,"0,0794","0,013",0,"0,047","0,00339"
Poste,élément décomposé par poste et par gaz,27061,Valide générique,kgCO2e/kWh (PCI),BioGNL,Carburant,Issu d'épuration cryogénique de biogaz,Combustibles > Organiques > Liquides,"combustible liquide, BioLNG, LNG",France continentale,France continentale,mars 2019,,mars 2022,30%,,,,,,,,,,"<p>Quantités de Gaz à Effet de Serre émises pour fournir un kilowattheure PCI de bioGNL issu d'épuration cryogénique de biogaz et utilisé dans un moteur à combustion
 
 </p>",Combustion,,"0,007",0,0,"0,005","0,002"
Elément,élément décomposé par poste et par gaz,14246,Valide générique,kgCO2e/litre,Biodiesel,changement d'affectation des sols scénario maximum,,Combustibles > Organiques > Liquides,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,,,,,,,,,,,,,"7,17","6,68","0,0293",0,"0,458"
Poste,élément décomposé par poste et par gaz,14246,Valide générique,kgCO2e/litre,Biodiesel,changement d'affectation des sols scénario maximum,,Combustibles > Organiques > Liquides,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,,,,,,,,,,,Amont,,"7,17","6,68","0,0293",0,"0,458"
Elément,élément décomposé par poste et par gaz,14251,Valide générique,kgCO2e/litre,Biodiesel,changement d'affectation des sols scénario optimiste,,Combustibles > Organiques > Liquides,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,,,,,,,,,,,,,"0,433","-0,0538","0,0293",0,"0,458"
Poste,élément décomposé par poste et par gaz,14251,Valide générique,kgCO2e/litre,Biodiesel,changement d'affectation des sols scénario optimiste,,Combustibles > Organiques > Liquides,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,,,,,,,,,,,Amont,,"0,433","-0,0538","0,0293",0,"0,458"
Elément,élément décomposé par poste et par gaz,14256,Valide générique,kgCO2e/litre,Biodiesel,sans changement d'affectation des sols,,Combustibles > Organiques > Liquides,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,,,,,,,,,,,,,"1,01","0,524","0,0293",0,"0,458"
Poste,élément décomposé par poste et par gaz,14256,Valide générique,kgCO2e/litre,Biodiesel,sans changement d'affectation des sols,,Combustibles > Organiques > Liquides,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,,,,,,,,,,,Amont,,"1,01","0,524","0,0293",0,"0,458"
Elément,élément décomposé par poste et par gaz,27083,Valide générique,kgCO2e/kWh PCI,Biométhane,Injecté dans les réseau,Issu de la filière STEU,Combustibles > Organiques > Gazeux,"méthane, Biométhane, déchets, ENR, STEP",France continentale,France,mars 2019,,mars 2022,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,"<p>Facteur démission d'1kWh PCI de biométhane produit par la filière STEU (Stations de Traitement des Eaux Usées), injecté dans le réseau de gaz et consommé en chaudière. Attention les factures de gaz sont usuellement exprimées en PCS et non en PCI.</p>",,,"0,0164","0,00398",0,"0,01","0,00239"
Poste,élément décomposé par poste et par gaz,27083,Valide générique,kgCO2e/kWh PCI,Biométhane,Injecté dans les réseau,Issu de la filière STEU,Combustibles > Organiques > Gazeux,"méthane, Biométhane, déchets, ENR, STEP",France continentale,France,mars 2019,,mars 2022,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,"<p>Facteur démission d'1kWh PCI de biométhane produit par la filière STEU (Stations de Traitement des Eaux Usées), injecté dans le réseau de gaz et consommé en chaudière. Attention les factures de gaz sont usuellement exprimées en PCS et non en PCI.</p>",Amont,,"0,0134","0,00398",0,"0,00946",0
Poste,élément décomposé par poste et par gaz,27083,Valide générique,kgCO2e/kWh PCI,Biométhane,Injecté dans les réseau,Issu de la filière STEU,Combustibles > Organiques > Gazeux,"méthane, Biométhane, déchets, ENR, STEP",France continentale,France,mars 2019,,mars 2022,70%,Données de l'article L229-25 de la loi TECV,,,,,,,,,"<p>Facteur démission d'1kWh PCI de biométhane produit par la filière STEU (Stations de Traitement des Eaux Usées), injecté dans le réseau de gaz et consommé en chaudière. Attention les factures de gaz sont usuellement exprimées en PCS et non en PCI.</p>",Combustion,,"0,00293",0,0,"0,00054","0,00239"
Elément,élément décomposé par poste et par gaz,25781,Valide générique,kgCO2e/kg,Biopropane,mix représentatif de biomasse sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, mix",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,3/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,,,"0,769","0,643","0,0219","0,0507","0,0391"
Poste,élément décomposé par poste et par gaz,25781,Valide générique,kgCO2e/kg,Biopropane,mix représentatif de biomasse sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, mix",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,3/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,Amont,,"0,769","0,643","0,0219","0,0507","0,0391"
Poste,élément décomposé par poste et par gaz,25781,Valide générique,kgCO2e/kg,Biopropane,mix représentatif de biomasse sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, mix",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,3/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,Combustion,,0,0,0,0,0
Elément,élément décomposé par poste et par gaz,25784,Valide générique,kgCO2e/kg,Biopropane,à base d'huile de colza sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de colza",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,4/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,,,"2,35","1,46","0,0597",0,"0,797"
Poste,élément décomposé par poste et par gaz,25784,Valide générique,kgCO2e/kg,Biopropane,à base d'huile de colza sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de colza",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,4/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,Amont,,"2,35","1,46","0,0597",0,"0,797"
Poste,élément décomposé par poste et par gaz,25784,Valide générique,kgCO2e/kg,Biopropane,à base d'huile de colza sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de colza",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,4/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,Combustion,,0,0,0,0,0
Elément,élément décomposé par poste et par gaz,25782,Valide générique,kgCO2e/kg,Biopropane,à base d'huile de palme (avec capture de méthane) sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de palme",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,4/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,,,"1,32","0,985","0,0248",0,"0,263"
Poste,élément décomposé par poste et par gaz,25782,Valide générique,kgCO2e/kg,Biopropane,à base d'huile de palme (avec capture de méthane) sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de palme",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,4/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,Amont,,"1,32","0,985","0,0248",0,"0,263"
Poste,élément décomposé par poste et par gaz,25782,Valide générique,kgCO2e/kg,Biopropane,à base d'huile de palme (avec capture de méthane) sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de palme",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,4/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,Combustion,,0,0,0,0,0
Elément,élément décomposé par poste et par gaz,25783,Valide générique,kgCO2e/kg,Biopropane,à base d'huile de palme (sans capture de méthane) sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de palme",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,4/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,,,"1,97","0,985","0,0248","0,65","0,263"
Poste,élément décomposé par poste et par gaz,25783,Valide générique,kgCO2e/kg,Biopropane,à base d'huile de palme (sans capture de méthane) sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de palme",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,4/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,Amont,,"1,97","0,985","0,0248","0,65","0,263"
Poste,élément décomposé par poste et par gaz,25783,Valide générique,kgCO2e/kg,Biopropane,à base d'huile de palme (sans capture de méthane) sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de palme",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,4/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,Combustion,,0,0,0,0,0
Elément,élément décomposé par poste et par gaz,25785,Valide générique,kgCO2e/kg,Biopropane,à base d'huiles de cuisson sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de cuisson",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,4/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,,,"0,621","0,589","0,0212",0,"0,000668"
Poste,élément décomposé par poste et par gaz,25785,Valide générique,kgCO2e/kg,Biopropane,à base d'huiles de cuisson sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de cuisson",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,4/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,Amont,,"0,621","0,589","0,0212",0,"0,000668"
Poste,élément décomposé par poste et par gaz,25785,Valide générique,kgCO2e/kg,Biopropane,à base d'huiles de cuisson sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de cuisson",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,4/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,Combustion,,0,0,0,0,0
Elément,élément décomposé par poste et par gaz,25787,Valide générique,kgCO2e/kg,Biopropane,à base de distillat d'acides gras d'huile de palme (avec capture de méthane) sans CAS,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de palme",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,3/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,<p>Sans Changement d'Affectation des Sols (CAS)</p>,,,"0,592","0,561","0,0201",0,"0,000668"
Poste,élément décomposé par poste et par gaz,25787,Valide générique,kgCO2e/kg,Biopropane,à base de distillat d'acides gras d'huile de palme (avec capture de méthane) sans CAS,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de palme",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,3/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,<p>Sans Changement d'Affectation des Sols (CAS)</p>,Amont,,"0,592","0,561","0,0201",0,"0,000668"
Poste,élément décomposé par poste et par gaz,25787,Valide générique,kgCO2e/kg,Biopropane,à base de distillat d'acides gras d'huile de palme (avec capture de méthane) sans CAS,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de palme",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,3/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,<p>Sans Changement d'Affectation des Sols (CAS)</p>,Combustion,,0,0,0,0,0
Elément,élément décomposé par poste et par gaz,25788,Valide générique,kgCO2e/kg,Biopropane,à base de distillat d'acides gras d'huile de palme (sans capture de méthane) sans CAS,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de palme",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,3/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,<p>Sans Changement d'Affectation des Sols (CAS)</p>,,,"0,592","0,561","0,0201",0,"0,000668"
Poste,élément décomposé par poste et par gaz,25788,Valide générique,kgCO2e/kg,Biopropane,à base de distillat d'acides gras d'huile de palme (sans capture de méthane) sans CAS,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de palme",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,3/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,<p>Sans Changement d'Affectation des Sols (CAS)</p>,Amont,,"0,592","0,561","0,0201",0,"0,000668"
Poste,élément décomposé par poste et par gaz,25788,Valide générique,kgCO2e/kg,Biopropane,à base de distillat d'acides gras d'huile de palme (sans capture de méthane) sans CAS,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, huile de palme",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,3/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,<p>Sans Changement d'Affectation des Sols (CAS)</p>,Combustion,,0,0,0,0,0
Elément,élément décomposé par poste et par gaz,25786,Valide générique,kgCO2e/kg,Biopropane,à base de graisses animales sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, graisse animale",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,4/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,,,"0,625","0,592","0,0213",0,"0,000668"
Poste,élément décomposé par poste et par gaz,25786,Valide générique,kgCO2e/kg,Biopropane,à base de graisses animales sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, graisse animale",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,4/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,Amont,,"0,625","0,592","0,0213",0,"0,000668"
Poste,élément décomposé par poste et par gaz,25786,Valide générique,kgCO2e/kg,Biopropane,à base de graisses animales sans changement d'affectation des sols,,Combustibles > Organiques > Gazeux,"combustible gazeux, biopropane, HVO, gaz, huiles végétales hydro-traitées, graisse animale",France continentale,France continentale,juin 2017,,décembre 2020,20%,Données de l'article L229-25 de la loi TECV,4/4,4.0/4,Bonne,Très bonne,Bonne,Bonne,Bonne,Très bonne,,Combustion,,0,0,0,0,0
Elément,élément décomposé par poste et par gaz,14261,Valide générique,kgCO2e/litre,Bioéthanol,changement d'affectation des sols scénario maximum,,Combustibles > Organiques > Liquides,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,,,,,,,,,,,,,"4,8","4,55","0,0309",0,"0,213"
Poste,élément décomposé par poste et par gaz,14261,Valide générique,kgCO2e/litre,Bioéthanol,changement d'affectation des sols scénario maximum,,Combustibles > Organiques > Liquides,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,,,,,,,,,,,Amont,,"4,8","4,55","0,0309",0,"0,213"
Elément,élément décomposé par poste et par gaz,14266,Valide générique,kgCO2e/litre,Bioéthanol,changement d'affectation des sols scénario optimiste,,Combustibles > Organiques > Liquides,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,,,,,,,,,,,,,"0,713","0,469","0,0309",0,"0,213"
Poste,élément décomposé par poste et par gaz,14266,Valide générique,kgCO2e/litre,Bioéthanol,changement d'affectation des sols scénario optimiste,,Combustibles > Organiques > Liquides,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,,,,,,,,,,,Amont,,"0,713","0,469","0,0309",0,"0,213"
Elément,élément décomposé par poste et par gaz,14271,Valide générique,kgCO2e/litre,Bioéthanol,sans changement d'affectation des sols,,Combustibles > Organiques > Liquides,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,,,,,,,,,,,,,"0,848","0,604","0,0309",0,"0,213"
Poste,élément décomposé par poste et par gaz,14271,Valide générique,kgCO2e/litre,Bioéthanol,sans changement d'affectation des sols,,Combustibles > Organiques > Liquides,,France continentale,France continentale,octobre 2014,octobre 2014,décembre 2017,20%,,,,,,,,,,,Amont,,"0,848","0,604","0,0309",0,"0,213"
